country,polity
AFG,-1
ALB,9
DZA,2
AGO,-2
ARG,8
ARM,5
AUS,10
AUT,10
AZE,-7
BHR,-10
BEL,8
BEN,7
BFA,0
BTN,5
BLR,-7
BGD,1
BOL,7
BWA,8
BRA,8
BDI,6
BGR,9
KHM,2
CAN,10
CMR,-4
CPV,10
TCD,-2
CHL,10
CHN,-7
COL,7
COM,9
COG,-4
CRI,10
HRV,9
CUB,-7
CYP,10
CZE,9
DNK,10
DJI,4
DOM,8
ECU,5
EGY,-4
GNQ,-5
ERI,-7
EST,9
ETH,-3
ETM,7
FIN,10
FJI,2
FRA,9
GAB,3
GMB,-5
GHA,8
DEU,10
GNB,6
GRC,10
GEO,7
GUA,8
GIN,4
GUY,6
HND,7
HUN,10
IND,9
IDN,9
IRL,10
IRN,-7
IRQ,3
ISR,10
ITA,10
IVO,4
JAM,9
JOR,-3
JPN,10
KEN,9
KSV,8
KWT,-7
KGZ,7
KAZ,-6
LAO,-7
LVA,8
LBR,6
LBN,6
LSO,8
LTU,10
LUX,10
MRT,-2
MKD,9
MDG,6
MYS,5
MUS,10
MWI,6
MEX,8
MDA,9
MLI,5
MNE,9
MNG,10
MAR,-4
MMR,-3
MOZ,6
NAM,6
NPL,6
NZL,10
NIC,9
NGA,4
NER,6
NOR,10
NLD,10
OMN,-8
PAK,7
PAN,9
PRY,9
PER,9
PHL,8
PNG,5
POL,10
PRT,10
PRK,-10
QAT,-10
ROK,8
ROM,9
RUS,4
RWA,-3
ZAF,9
SAL,8
SAU,-10
SDN,-4
SEN,7
SRB,8
SLE,7
SGP,-2
SVK,10
SVN,10
SLB,8
SOM,5
ESP,10
LKA,3
SUR,5
SWA,-9
SWE,10
CHE,10
SYR,-9
TJK,-3
TWN,10
TZA,-1
THA,-3
TKM,-8
TGO,-2
TTO,10
TUN,7
TUR,9
ARE,-8
UGA,-1
GBR,10
UKR,4
URY,10
USA,10
UZB,-9
VEN,4
VNM,-7
COD,5
ZMB,7
ZWE,4
